Throttle,Left Front RPM,Right Front RPM,Left Rear RPM,Right Rear RPM
0.1,-0.000204661,-0.000204661,-0.000204661,-0.000204661
0.1,-0.000271639,-0.000271638,-0.000271622,-0.000271622
0.1,0.0648502,0.0648502,0.0648502,0.0648502
0.1,0.130169,0.130169,0.130169,0.130169
0.1,0.19528,0.19528,0.19528,0.19528
0.1,0.260341,0.260341,0.260341,0.260341
0.1,0.325388,0.325388,0.325388,0.325388
0.1,0.390488,0.390488,0.390488,0.390488
0.1,0.455664,0.455664,0.455664,0.455664
0.1,0.520826,0.520826,0.520826,0.520826
0.1,0.585919,0.585919,0.585919,0.585919
0.1,0.65096,0.65096,0.65096,0.65096
0.1,0.716189,0.716189,0.716189,0.716189
0.1,0.781209,0.781209,0.781209,0.781209
0.1,0.846796,0.846796,0.846796,0.846796
0.1,0.91135,0.91135,0.91135,0.91135
0.1,0.976585,0.976585,0.976585,0.976585
0.1,1.04169,1.04169,1.04169,1.04169
0.1,1.10666,1.10666,1.10666,1.10666
0.1,1.17173,1.17173,1.17173,1.17173
0.1,1.23691,1.23691,1.23691,1.23691
0.1,1.30192,1.30192,1.30192,1.30192
0.1,1.36705,1.36705,1.36705,1.36705
0.1,1.43201,1.43201,1.43201,1.43201
0.1,1.49701,1.49701,1.49701,1.49701
0.1,1.56207,1.56207,1.56207,1.56207
0.1,1.62714,1.62714,1.62714,1.62714
0.1,1.69214,1.69214,1.69214,1.69214
0.1,1.7576,1.7576,1.7576,1.7576
0.1,1.82225,1.82225,1.82225,1.82225
0.1,1.88692,1.88692,1.88692,1.88692
0.1,1.95215,1.95215,1.95215,1.95215
0.1,2.01682,2.01682,2.01682,2.01682
0.1,2.08228,2.08228,2.08228,2.08228
0.1,2.14728,2.14728,2.14728,2.14728
0.1,2.21231,2.21231,2.21231,2.21231
0.1,2.27735,2.27735,2.27735,2.27735
0.1,2.34229,2.34229,2.34229,2.34229
0.1,2.40726,2.40726,2.40726,2.40726
0.1,2.4721,2.4721,2.4721,2.4721
0.1,2.53698,2.53698,2.53698,2.53698
0.1,2.60218,2.60218,2.60218,2.60218
0.1,2.66711,2.66711,2.66711,2.66711
0.1,2.7321,2.7321,2.7321,2.7321
0.1,2.7978,2.7978,2.7978,2.7978
0.1,2.86194,2.86194,2.86194,2.86194
